,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,253.8056778907776,117.31087900580215,25.887838983535765,1.8285348101167114,0.001,8,1000,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 1000}",-0.505125898920997,-0.5305388186768731,-0.5525058444260293,-0.5533636063967925,-0.539159302435034,-0.5361386941711452,0.017702301306384113,50
11,289.8529176235199,135.50630818988662,31.429672765731812,2.2482888800001115,0.001,8,1200,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 1200}",-0.5012540403867186,-0.5268105367330701,-0.5485451883659894,-0.5493328750006156,-0.5362013677875607,-0.5324288016547909,0.017681337689122823,48
12,35.163407468795775,15.321865243772699,2.645060157775879,0.3720803181815138,0.001,10,100,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 100}",-0.5447080664868089,-0.5702144018260012,-0.5950324277194127,-0.5954337589463823,-0.5756353663182978,-0.5762048042593806,0.018721569243544945,61
13,222.9739254951477,99.87155605312111,27.82012047767639,0.8098360922608817,0.001,10,700,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 700}",-0.5098363597759716,-0.5342055159524486,-0.556142194113056,-0.5571634337553754,-0.5420102651339035,-0.539871553746151,0.01733513080255604,51
14,314.48097333908083,139.05950853740225,37.35794181823731,3.1486348588444533,0.001,10,1000,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 1000}",-0.5014531855158825,-0.5253970777483359,-0.5467413760004716,-0.5482513514937694,-0.5349684950059453,-0.5313622971528809,0.017116656724630166,47
15,384.7916076183319,172.1568049580117,44.96299033164978,3.061046863342949,0.001,10,1200,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 1200}",-0.4974736418323487,-0.5210896533645442,-0.5422485415534122,-0.5437956840048058,-0.5318566295185435,-0.5272928300547308,0.01699711238867779,44
16,14.760496473312378,6.83065982329263,0.6186648368835449,0.027580285084105368,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",-0.5226534133090658,-0.5515891311836583,-0.5756095875512969,-0.5746724106050933,-0.5569662921714069,-0.5562981669641044,0.01931390510619876,58
17,76.68593277931214,36.7551098687943,3.531149911880493,0.26633445328007727,0.01,3,700,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 700}",-0.49952003806952655,-0.5268321521496313,-0.5422190068040387,-0.544277033507356,-0.5356017089634014,-0.5296899878987908,0.01626714331485204,45
18,108.8587875366211,53.53461157031844,5.076974153518677,0.36497167768456135,0.01,3,1000,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",-0.496855970302189,-0.524161963557956,-0.539126275176746,-0.5406439339643719,-0.5330416920517462,-0.5267659670106019,0.016038383002052875,43
19,126.65624241828918,58.44072915608324,7.516129207611084,0.6546950197005807,0.01,3,1200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1200}",-0.49558461311429114,-0.5228447041672378,-0.5377527081411111,-0.5390545300578492,-0.5315335900312746,-0.5253540291023527,0.01595075409823755,41
